Sum of Count,Column Labels,,,
Row Labels,Casual ,member,(blank),Grand Total
Jan,18520,85250,,103770
Feb,21416,94193,,115609
Mar,89882,194160,,284042
Apr,91897,180663,,272560
May,220246,282299,,502545
Jun,369051,400153,,769204
Jul,406055,417433,,823488
Aug,358924,427008,,785932
Sep,296697,404637,,701334
Oct,208989,349696,,558685
Nov,100772,236963,,337735
Dec,44894,136912,,181806
(blank),,,,
Grand Total,2227343,3209367,,5436710
,,,,
Month,Casual ,Member,Grand Total,
Jan,18520,85250,103770,
Feb,21416,94193,115609,
Mar,89882,194160,284042,
Apr,91897,180663,272560,
May,220246,282299,502545,
Jun,369051,400153,769204,
Jul,406055,417433,823488,
Aug,358924,427008,785932,
Sep,296697,404637,701334,
Oct,208989,349696,558685,
Nov,100772,236963,337735,
Dec,44894,136912,181806,
,,,,
,,,5436710,
