Sum of Count,Column Labels,,,,Percent Usage by Month,,,
Row Labels,Casual,Member,Grand Total,Trend,,,Casual,Member
Jan,18520,85250,103770,,,Jan,0.8,2.7
Feb,21416,94193,115609,,,Feb,1.0,2.9
Mar,89882,194160,284042,,,Mar,4.1,6.0
Apr,91897,180663,272560,,,Apr,4.2,5.6
May,220246,282299,502545,,,May,10.0,8.8
Jun,369051,400153,769204,,,Jun,16.7,12.5
Jul,406055,417433,823488,,,Jul,18.4,13.0
Aug,358924,427008,785932,,,Aug,16.2,13.3
Sep,296697,404637,701334,,,Sep,13.4,12.6
Oct,208989,349696,558685,,,Oct,9.5,10.9
Nov,100772,236963,337735,,,Nov,4.6,7.4
Dec,44894,136912,181806,,,Dec,2.0,4.3
Grand Total,2227343,3209367,5436710,,,,,
,,,,,,,,
Trend ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1,8,13,,,,,,
2,4,15,,,,,,
3,7,19,,,,,,
4,8,2,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
