month number,month,Member_Casual,Count,,,
1,Jan,Casual,18520,17.85%,,
1,Jan,Member,85250,,,
2,Feb,Casual,21416,,,
2,Feb,Member,94193,,,
3,Mar,Casual,89882,,,
3,Mar,Member,194160,,,
4,Apr,Casual,91897,,,
4,Apr,Member,180663,,,
5,May,Casual,220246,,,
5,May,Member,282299,,,
6,Jun,Casual,369051,,,
6,Jun,Member,400153,,,
7,Jul,Casual,406055,,,
7,Jul,Member,417433,,,
8,Aug,Casual,358924,,,
8,Aug,Member,427008,,,
9,Sep,Casual,296697,,,
9,Sep,Member,404637,,,
10,Oct,Casual,208989,,,
10,Oct,Member,349696,,,
11,Nov,Casual,100772,,,
11,Nov,Member,236963,,,
12,Dec,Casual,44894,,,
12,Dec,Member,136912,,,
,,,,,,
Grand Total ,,Member,3209367,,,
,,Casual,2208823,,,
,,,,,,
Percent Usage by Month,,,,,,
,,Casual,Member,,,
,Jan,0.8,2.7,,,
,Feb,1.0,2.9,,,
,Mar,4.1,6.0,,,
,Apr,4.2,5.6,,,
,May,10.0,8.8,,,
,Jun,16.7,12.5,,,
,Jul,18.4,13.0,,,
,Aug,16.2,13.3,,,
,Sep,13.4,12.6,,,
,Oct,9.5,10.9,,,
,Nov,4.6,7.4,,,
,Dec,2.0,4.3,,,
,,,,,,
,,100.8,100.0,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
rideable_type,count,,,,,
,,,,,,
No Data,,230795,,,,
,,,,,,
User,Bike,Count,,,,
Casual,Classic,891459,,,,
Casual,Electric,1192856,,,,
Member,Classic,1709753,,,,
Member,Electric,1538579,,,,
,,,,,,
,,,,,,
Casual,Docked,177474,,,,
,,,,,,
,,,,,,
Sum of Count,Bike,,,,,
User,Classic,Electric,Grand Total,,,
Casual,891459,1192856,2084315,,,
Member,1709753,1538579,3248332,,,
Grand Total,2601212,2731435,5332647,,,
