,,,,,,,,,,,,,,,,,,,,
Member Top Start Station Name in Descending Order,,,,,,,,,,,,,,,,,,,,
Start Station,Count,,Latitude,Longitude,Count,Member Type,,,,,,,,,,,,,,
Kingsbury St & Kinzie St,24937,11,41.889177,-87.638506,24937,member,,,,,,,,,,,,,,
Clark St & Elm St,22040,10,41.902973,-87.63128,22040,member,,,,,,,,,,,,,,
Wells St & Concord Ln,21298,10,41.912133,-87.634656,21298,member,,,,,,,,,,,,,,
University Ave & 57th St,19953,9,41.791478,-87.600853,19953,member,,,,,,,,,,,,,,
Clinton St & Washington Blvd,19827,9,41.88338,-87.64117,19827,member,,,,,,,,,,,,,,
Ellis Ave & 60th St,19503,9,41.785097,-87.601187,19503,member,,,,,,,,,,,,,,
Loomis St & Lexington St,19128,9,41.872187,-87.661501,19128,member,,,,,,,,,,,,,,
Wells St & Elm St,18987,9,41.903222,-87.634324,18987,member,,,,,,,,,,,,,,
Clinton St & Madison St,18931,9,41.882242,-87.641066,18931,member,,,,,,,,,,,,,,
Broadway & Barry Ave,17759,8,41.937725,-87.644095,17759,member,,,,,,,,,,,,,,
Streeter Dr & Grand Ave,17142,8,41.892278,-87.612043,17142,member,,,,,,,,,,,,,,
sum,219505,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Casual Top Start Station Name in Descending Order,,,,,,,,,,,,,,,,,,,,
Streeter Dr & Grand Ave,58095,22,41.892278,-87.612043,58095,casual,,,,,,,,,,,,,,
DuSable Lake Shore Dr & Monroe St,31863,12,41.880958,-87.616743,31863,casual,,,,,,,,,,,,,,
Millennium Park,25530,10,41.882091,-87.624595,25530,casual,,,,,,,,,,,,,,
Michigan Ave & Oak St,25265,10,41.90096,-87.623777,25265,casual,,,,,,,,,,,,,,
DuSable Lake Shore Dr & North Blvd,23657,9,41.911722,-87.623983,23657,casual,,,,,,,,,,,,,,
Shedd Aquarium,20265,8,41.867226,-87.615355,20265,casual,,,,,,,,,,,,,,
Theater on the Lake,18452,7,41.926277,-87.630831,18452,casual,,,,,,,,,,,,,,
Wells St & Concord Ln,16217,6,41.912133,-87.634656,16217,casual,,,,,,,,,,,,,,
Dusable Harbor,14104,5,41.888979,-87.612994,14104,casual,,,,,,,,,,,,,,
Clark St & Armitage Ave,13804,5,41.918306,-87.636282,13804,casual,,,,,,,,,,,,,,
Indiana Ave & Roosevelt Rd,13691,5,41.867888,-87.623041,13691,casual,,,,,,,,,,,,,,
sum,260943,,,,,,,,,,,,,,,,,,,
