"","start_station_name","member_casual","count"
"1","","member",388309
"2","","casual",287164
"3","","",230795
"4","Streeter Dr & Grand Ave","casual",58095
"5","DuSable Lake Shore Dr & Monroe St","casual",31863
"6","Millennium Park","casual",25530
"7","Michigan Ave & Oak St","casual",25265
"8","Kingsbury St & Kinzie St","member",24937
"9","DuSable Lake Shore Dr & North Blvd","casual",23657
"10","Clark St & Elm St","member",22040
"11","Wells St & Concord Ln","member",21298
"12","Shedd Aquarium","casual",20265
"13","University Ave & 57th St","member",19953
"14","Clinton St & Washington Blvd","member",19827
"15","Ellis Ave & 60th St","member",19503
"16","Loomis St & Lexington St","member",19128
"17","Wells St & Elm St","member",18987
"18","Clinton St & Madison St","member",18931
"19","Theater on the Lake","casual",18452
"20","Broadway & Barry Ave","member",17759
"21","Streeter Dr & Grand Ave","member",17142
"22","Wells St & Concord Ln","casual",16217
"23","Dusable Harbor","casual",14104
"24","Clark St & Armitage Ave","casual",13804
"25","Indiana Ave & Roosevelt Rd","casual",13691
